states,x,y
Abia,-59,-224
Adamawa,224,14
Akwa Ibom,-43,-256
Anambra,-97,-188
Bauchi,69,66
Bayelsa,-160,-275
Benue,6,-125
Borno,279,157
Cross River,-4,-206
Delta,-164,-237
Ebonyi,-31,-175
Edo,-144,-166
Ekiti,-213,-91
Enugu,-70,-164
Gombe,170,66
Imo,-87,-224
Jigawa,48,185
Kaduna,-42,58
Kano,-8,140
Katsina,-60,175
Kebbi,-257,136
Kogi,-107,-105
Kwara,-226,-20
Lagos,-298,-168
Nasarawa,-40,-45
Niger,-175,48
Ogun,-325,-129
Ondo,-227,-143
Osun,-254,-114
Oyo,-312,-77
Plateau,49,-32
Rivers,-102,-262
Sokoto,-189,236
Taraba,126,-77
Yobe,162,187
Zamfara,-131,160
Fct,-83,-11
